Word,Intent
hello,greeting
hi,greeting
hey,greeting
greetings,greeting
good morning,greeting
good afternoon,greeting
good evening,greeting
howdy,greeting
what's up,greeting
how are you,greeting
how's it going,greeting
nice to meet you,greeting
pleased to meet you,greeting
good to see you,greeting
what's going on,greeting
how's everything,greeting
what's new,greeting
long time no see,greeting
welcome,greeting
good day,greeting
yo,greeting
sup,greeting
hey there,greeting
hiya,greeting
howdy-do,greeting
how's things,greeting
morning,greeting
afternoon,greeting
evening,greeting
aloha,greeting
howzit,greeting
cheers,greeting
top of the morning,greeting
salute,greeting
hey buddy,greeting
hey pal,greeting
hola,greeting
bonjour,greeting
ciao,greeting
namaste,greeting
Word,Intent
goodbye,goodbye
bye,goodbye
see you,goodbye
see you later,goodbye
talk to you later,goodbye
catch you later,goodbye
take care,goodbye
farewell,goodbye
have a nice day,goodbye
have a good one,goodbye
later,goodbye
see ya,goodbye
peace out,goodbye
adios,goodbye
ciao,goodbye
au revoir,goodbye
sayonara,goodbye
cheerio,goodbye
see you soon,goodbye
so long,goodbye
talk soon,goodbye
all the best,goodbye
good night,goodbye
until next time,goodbye
stay safe,goodbye
have a great day,goodbye
I'm out,goodbye
I don't have any symptoms.,no_symptoms
I'm feeling fine.,no_symptoms
I'm okay.,no_symptoms
I'm feeling normal.,no_symptoms
No symptoms.,no_symptoms
I'm not experiencing any symptoms.,no_symptoms
Everything seems normal.,no_symptoms
I don't feel sick.,no_symptoms
I'm not sick.,no_symptoms
Nothing's wrong with me.,no_symptoms
I feel good.,no_symptoms
I'm not feeling anything unusual.,no_symptoms
I'm healthy.,no_symptoms
I'm not having any issues.,no_symptoms
No problems here.,no_symptoms
I don't have any issues.,no_symptoms
Everything is fine.,no_symptoms
I don't feel bad.,no_symptoms
I'm feeling great.,no_symptoms
No signs of illness.,no_symptoms
I have no health concerns.,no_symptoms
I'm perfectly fine.,no_symptoms
All good.,no_symptoms
I'm in good health.,no_symptoms
"I don't need any help, I'm fine.",no_symptoms
I don't have any pain.,no_symptoms
No discomfort at all.,no_symptoms
Nothing to worry about.,no_symptoms
All is well.,no_symptoms
I'm totally fine.,no_symptoms
I feel perfectly normal.,no_symptoms
